# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-09-13 13:19:18 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09506000 VERDE RIVER NEAR CAMP VERDE, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09506000
#            TS   parameter     statistic     Description
#          5707       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	5707_00060_00003	5707_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09506000	2020-01-01	334	A
USGS	09506000	2020-01-02	300	A
USGS	09506000	2020-01-03	279	A
USGS	09506000	2020-01-04	264	A
USGS	09506000	2020-01-05	256	A
USGS	09506000	2020-01-06	262	A
USGS	09506000	2020-01-07	285	A
USGS	09506000	2020-01-08	289	A
USGS	09506000	2020-01-09	280	A
USGS	09506000	2020-01-10	279	A
USGS	09506000	2020-01-11	272	A
USGS	09506000	2020-01-12	259	A
USGS	09506000	2020-01-13	247	A
USGS	09506000	2020-01-14	238	A
USGS	09506000	2020-01-15	231	A
USGS	09506000	2020-01-16	227	A
USGS	09506000	2020-01-17	224	A
USGS	09506000	2020-01-18	222	A
USGS	09506000	2020-01-19	227	A
USGS	09506000	2020-01-20	233	A
USGS	09506000	2020-01-21	239	A
USGS	09506000	2020-01-22	718	A
USGS	09506000	2020-01-23	1190	A
USGS	09506000	2020-01-24	870	A
USGS	09506000	2020-01-25	769	A
USGS	09506000	2020-01-26	657	A
USGS	09506000	2020-01-27	576	A
